PrecinctName,CityName,SeattleCouncilDistrict
SEA 36-2502,Seattle,6
SEA 36-2503,Seattle,6
SEA 36-2504,Seattle,6
SEA 36-2505,Seattle,6
SEA 36-2506,Seattle,6
SEA 36-2507,Seattle,6
SEA 36-2508,Seattle,6
SEA 36-2509,Seattle,6
SEA 36-2510,Seattle,6
SEA 36-2511,Seattle,6
SEA 36-2512,Seattle,6
SEA 36-2513,Seattle,6
SEA 36-2514,Seattle,6
SEA 36-2515,Seattle,6
SEA 36-2517,Seattle,5
SEA 36-2518,Seattle,5
SEA 36-2520,Seattle,5
SEA 36-2523,Seattle,5
SEA 36-2526,Seattle,6
SEA 36-2528,Seattle,5
SEA 36-2529,Seattle,5
SEA 36-2532,Seattle,5
SEA 36-2533,Seattle,5
SEA 36-2534,Seattle,5
SEA 36-2535,Seattle,5
SEA 36-2536,Seattle,5
SEA 36-2590,Seattle,6
SEA 36-2592,Seattle,6
SEA 36-2593,Seattle,6
SEA 36-2743,Seattle,6
SEA 36-2795,Seattle,7
SEA 36-3153,Seattle,5
SEA 36-3317,Seattle,6
SEA 36-3318,Seattle,6
SEA 36-3319,Seattle,7
SEA 36-3586,Seattle,6
SEA 36-3587,Seattle,7
SEA 36-3685,Seattle,6
SEA 36-3689,Seattle,7
SEA 36-3699,Seattle,6
SEA 36-3710,Seattle,6
SEA 36-3720,Seattle,7
SEA 36-3743,Seattle,6
SEA 36-3744,Seattle,5
SEA 36-3745,Seattle,7
SEA 36-3797,Seattle,7
SEA 36-3821,Seattle,6
SEA 36-3822,Seattle,7
SEA 36-3933,Seattle,7
SEA 36-3936,Seattle,7
SEA 36-3972,Seattle,5
SEA 36-4016,Seattle,6
SEA 36-4030,Seattle,5
SEA 37-1553,Seattle,2
SEA 37-1555,Seattle,2
SEA 37-1557,Seattle,2
SEA 37-1558,Seattle,2
SEA 37-1559,Seattle,2
SEA 37-1563,Seattle,2
SEA 37-1564,Seattle,2
SEA 37-1565,Seattle,2
SEA 37-1566,Seattle,2
SEA 37-1567,Seattle,2
SEA 37-1568,Seattle,2
SEA 37-1570,Seattle,2
SEA 37-1571,Seattle,2
SEA 37-1572,Seattle,2
SEA 37-1574,Seattle,2
SEA 37-1575,Seattle,2
SEA 37-1576,Seattle,2
SEA 37-1578,Seattle,2
SEA 37-1579,Seattle,2
SEA 37-1580,Seattle,2
SEA 37-1582,Seattle,2
SEA 37-1583,Seattle,2
SEA 37-1584,Seattle,2
SEA 37-1585,Seattle,2
SEA 37-1586,Seattle,2
SEA 37-1587,Seattle,2
SEA 37-1588,Seattle,2
SEA 37-1589,Seattle,2
SEA 37-1590,Seattle,2
SEA 37-1591,Seattle,2
SEA 37-1592,Seattle,2
SEA 37-1593,Seattle,2
SEA 37-1594,Seattle,2
SEA 37-1596,Seattle,2
SEA 37-1597,Seattle,2
SEA 37-1600,Seattle,2
SEA 37-1607,Seattle,2
SEA 37-1608,Seattle,2
SEA 37-1609,Seattle,2
SEA 37-1610,Seattle,2
SEA 37-1611,Seattle,2
SEA 37-1612,Seattle,2
SEA 37-1613,Seattle,2
SEA 37-1614,Seattle,2
SEA 37-1615,Seattle,2
SEA 37-1616,Seattle,2
SEA 37-1617,Seattle,2
SEA 37-1618,Seattle,2
SEA 37-1619,Seattle,2
SEA 37-1620,Seattle,2
SEA 37-1621,Seattle,2
SEA 37-1622,Seattle,2
SEA 37-1624,Seattle,2
SEA 37-1628,Seattle,2
SEA 37-1629,Seattle,2
SEA 37-1630,Seattle,2
SEA 37-1631,Seattle,2
SEA 37-1632,Seattle,2
SEA 37-1633,Seattle,2
SEA 37-1634,Seattle,2
SEA 37-1635,Seattle,2
SEA 37-1636,Seattle,2
SEA 37-1637,Seattle,2
SEA 37-1638,Seattle,2
SEA 37-1639,Seattle,2
SEA 37-1640,Seattle,2
SEA 37-1641,Seattle,2
SEA 37-1643,Seattle,2
SEA 37-1646,Seattle,2
SEA 37-1647,Seattle,2
SEA 37-1648,Seattle,2
SEA 37-1650,Seattle,2
SEA 37-1651,Seattle,2
SEA 37-1652,Seattle,2
SEA 37-1825,Seattle,2
SEA 37-1827,Seattle,3
